Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
L'esprit de warren,1,La dix-neuvième victime,,"Brunschwig, Servain, Guth",Delcourt
L'esprit de warren,2,La légende de nouvel homme,,"Brunschwig, Servain, Guth",Delcourt
L'esprit de warren,3,L'enfant au fond du jardin,,"Brunschwig, Servain, Guth",Delcourt
L'esprit de warren,4,Encore quelques heures à vivre,,"Brunschwig, Servain, Rieu",Delcourt
Le Feul,1,Valnes,,"Gaudin, Peynet",Soleil
Le Feul,2,Les brohms,,"Gaudin, Peynet",Soleil
Le Feul,3,L'héritage,,"Gaudin, Peynet",Soleil
Machefer,1,Une huile en fuite,,"Vastra, Duval",Vents d'Ouest
Machefer,2,Le désert des carcasses,,"Vastra, Duval",Vents d'Ouest
Machefer,3,Les 24 heures du monde,,"Vastra, Duval",Vents d'Ouest
La vengeance du Comte Skarbek,1,Deux mains d'or,Premier chapitre,"Sente, Rosinski",Dargaud
La vengeance du Comte Skarbek,2,Un cœur de bronze,Second chapitre,"Sente, Rosinski",Dargaud
Le tueur,1,Long feu,,"Jacamon, Matz",Casterman
Le tueur,2,L'engrenage,,"Jacamon, Matz",Casterman
Le tueur,3,La dette,,"Jacamon, Matz",Casterman
Le tueur,4,Les liens du sang,,"Jacamon, Matz",Casterman
Le tueur,5,La mort dans l'âme,,"Jacamon, Matz",Casterman
Le tueur,6,Modus Vivendi,,"Jacamon, Matz",Casterman
Le tueur,7,Le commun des mortels,,"Jacamon, Matz",Casterman
Le tueur,8,L'ordre naturel des choses,,"Jacamon, Matz",Casterman
Le tueur,9,Concurrence déloyale,,"Jacamon, Matz",Casterman
Le tueur,10,Le coeur à l'ouvrage,,"Jacamon, Matz",Casterman
Le tueur,11,La suite dans les idées,,"Jacamon, Matz",Casterman
Trio grande,0,Adios Palomita,,"Lamy, Vatine, Clément, Rabarot",Delcourt
Wayne Redlake,1,500 Fusils,,"Lamy, Cailleteau, Duval, Vatine, Rabarot",Delcourt
Angela,0,Angela,,"Lamy, Pecqueur, Rabarot",Delcourt
Fleurs carnivores,1,Passé décomposé,,"Djian, Penet",Soleil
Fleurs carnivores,2,El Macho,,"Djian, Penet",Soleil
L'étoile du désert,0,"Intégrale (1,2)",,"Desberg, Marini",Dargaud
Eightball Hunter,1,Loser,,"Koeniguer, Callixte",Paquet
Sept,0,Sept Missionnaires,,"Ayrolles, Critone",Delcourt
De cape et de crocs,1,Le secret du janissaire,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,2,Pavillon noir !,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,3,L'archipel du danger,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,4,Le mystère de l’île étrange,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,5,Jean sans lune,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,6,Luna incognita,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,7,Chasseurs de chimères,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,8,Le maître d'armes,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,9,Revers de fortune,,"Ayrolles, Masbou",Delcourt
De cape et de crocs,10,De la lune à la terre,,"Ayrolles, Masbou",Delcourt
Lanfeust des étoiles,1,"Un, deux, ... Troy",,"Arleston, Tarquin",Soleil
Lanfeust des étoiles,2,Les tours de Meirrion,,"Arleston, Tarquin",Soleil
